	stat.mean	set.size	p.up	p.dn	p.val	q.val
ko04141 Protein processing in endoplasmic reticulum	2.74137779850805	73	1.61778888708736e-06	0.999998382211113	3.23557777417473e-06	0.000150993629461487
ko00400 Phenylalanine, tyrosine and tryptophan biosynthesis	2.34769884565703	21	5.27690007193664e-05	0.999947230999281	0.000105538001438733	0.00369383005035565
ko01230 Biosynthesis of amino acids	2.11512547078135	97	0.000138861074736706	0.999861138925263	0.000277722149473413	0.00777622018525556
ko01130 Biosynthesis of antibiotics	2.07636447660327	195	0.000170840133391601	0.999829159866608	0.000341680266783202	0.00797253955827471
ko04626 Plant-pathogen interaction	1.82046441581791	17	0.00125551326503157	0.998744486734968	0.00251102653006315	0.0390604126898711
ko01210 2-Oxocarboxylic acid metabolism	1.80097632535997	26	0.00115095329504827	0.998849046704952	0.00230190659009653	0.0390604126898711
ko00290 Valine, leucine and isoleucine biosynthesis	1.5202354260858	10	0.00588682251697205	0.994113177483028	0.0117736450339441	0.152124396934854
ko01120 Microbial metabolism in diverse environments	1.44791316064109	146	0.00623437703377473	0.993765622966225	0.0124687540675495	0.152124396934854
ko00710 Carbon fixation in photosynthetic organisms	1.42043357281373	24	0.00793102700273886	0.992068972997261	0.0158620540054777	0.152124396934854
ko01110 Biosynthesis of secondary metabolites	1.38862262230676	366	0.00814952126436717	0.991850478735633	0.0162990425287343	0.152124396934854
ko00860 Porphyrin and chlorophyll metabolism	-1.41103671710993	33	0.991899463007426	0.00810053699257429	0.0162010739851486	0.152124396934854
ko04712 Circadian rhythm - plant	-1.45575023024861	13	0.992658099147408	0.00734190085259245	0.0146838017051849	0.152124396934854
ko04075 Plant hormone signal transduction	-1.88969230638778	26	0.999279064105379	0.000720935894620744	0.00144187178924149	0.0288374357848298
ko00195 Photosynthesis	-3.24338444105412	34	0.999999959495851	4.05041493678482e-08	8.10082987356964e-08	5.67058091149875e-06
ko00196 Photosynthesis - antenna proteins	-3.86786688391127	11	0.999999987677435	1.23225646353475e-08	2.46451292706951e-08	3.45031809789731e-06
