	kegg.names	labels	all.mapped	all.mapped.symb	type	x	y	width	height	Cd1	Cd2	Cd3	Cd1.col	Cd2.col	Cd3.col
27	K13544	K13544			ortholog	1050	1168	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
43	K19073	K19073	K19073	NA	ortholog	701	763	46	17	-80	-66	-37	#00FF00	#00FF00	#00FF00
44	K02495	K02495			ortholog	551	366	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
48	K04036	K04036			ortholog	701	801	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
49	K04034	K04034			ortholog	643	738	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
50	K04034	K04034			ortholog	643	672	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
51	K04034	K04034			ortholog	643	607	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
52	K04035	K04035	K04035	E1.14.13.81	ortholog	693	738	46	17	-4268.33333333333	-2921.33333333333	-4208.33333333333	#00FF00	#00FF00	#00FF00
53	K04035	K04035	K04035	E1.14.13.81	ortholog	693	672	46	17	-4268.33333333333	-2921.33333333333	-4208.33333333333	#00FF00	#00FF00	#00FF00
54	K04035	K04035	K04035	E1.14.13.81	ortholog	693	607	46	17	-4268.33333333333	-2921.33333333333	-4208.33333333333	#00FF00	#00FF00	#00FF00
75	K00228	K00228	K00228	CPOX	ortholog	551	345	46	17	-1541	-777	-1316	#00FF00	#00FF00	#00FF00
238	K01195	K01195			ortholog	1135	600	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
239	K00699	K00699			ortholog	1033	600	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
240	K08100	K08100			ortholog	991	566	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
241	K00214	K00214			ortholog	913	538	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
242	K05370	K05370			ortholog	1132	516	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
243	K05369	K05369			ortholog	1036	516	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
244	K04040	K04040	K04040	chlG	ortholog	765	1230	46	17	-221.333333333333	-171.333333333333	-252.333333333333	#00FF00	#00FF00	#00FF00
245	K08099	K08099	K08099	E3.1.1.14	ortholog	722	1211	46	17	-20	9	11	#00FF00	#FF0000	#FF0000
246	K05371	K05371			ortholog	1086	454	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
247	K08101	K08101	K08101	E1.3.7.4	ortholog	1086	422	46	17	-82.3333333333334	-123.333333333333	-117.333333333333	#00FF00	#00FF00	#00FF00
262	K01764	K01764			ortholog	855	494	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
263	K19073	K19073	K19073	NA	ortholog	700	1116	46	17	-80	-66	-37	#00FF00	#00FF00	#00FF00
264	K04038	K04037	K04038	chlN	ortholog	768	918	46	17	-22.3333333333333	26.6666666666667	10.6666666666667	#00FF00	#FF0000	#FF0000
265	K00218	K00218	K00218	E1.3.1.33	ortholog	668	918	46	17	-729	-647	-810	#00FF00	#00FF00	#00FF00
266	K00218	K00218	K00218	E1.3.1.33	ortholog	718	918	46	17	-729	-647	-810	#00FF00	#00FF00	#00FF00
267	K02257	K02257	K02257	NA	ortholog	886	326	46	17	-86	-4	-54	#00FF00	#00FF00	#00FF00
268	K01772	K01772	K01772	NA	ortholog	745	357	46	17	188	197	513	#FF0000	#FF0000	#FF0000
270	K19054	K13624	K19054	NA	ortholog	599	150	46	17	-360	-412	-167	#00FF00	#00FF00	#00FF00
271	K03428	K03428	K03428	bchM	ortholog	669	518	46	17	-400.666666666667	-259.666666666667	-228.666666666667	#00FF00	#00FF00	#00FF00
272	K03403	K03403	K03403,K03404,K03405	chlH,chlD,chlI	ortholog	668	438	46	17	-2066.33333333333	-727.333333333333	-2196.33333333333	#00FF00	#00FF00	#00FF00
273	K00231	K00231	K00231	PPOX	ortholog	626	337	46	17	-76.6666666666667	357.333333333333	183.333333333333	#00FF00	#FF0000	#FF0000
274	K01599	K01599	K01599	NA	ortholog	474	355	46	17	-1014.66666666667	-764.666666666667	-1061.66666666667	#00FF00	#00FF00	#00FF00
275	K01719	K01719	K01719	NA	ortholog	392	355	46	17	-80.3333333333334	-151.333333333333	-154.333333333333	#00FF00	#00FF00	#00FF00
276	K02303	K00589	K02303	NA	ortholog	438	409	46	17	-198.333333333333	-201.333333333333	76.6666666666667	#00FF00	#00FF00	#FF0000
277	K01599	K01599	K01599	NA	ortholog	474	259	46	17	-1014.66666666667	-764.666666666667	-1061.66666666667	#00FF00	#00FF00	#00FF00
278	K01749	K01749	K01749	NA	ortholog	302	356	46	17	556	736	667	#FF0000	#FF0000	#FF0000
279	K01698	K01698	K01698	NA	ortholog	219	356	46	17	-294.666666666667	-145.666666666667	-365.666666666667	#00FF00	#00FF00	#00FF00
281	K01845	K01845	K01845	NA	ortholog	135	427	46	17	-1351.33333333333	-706.333333333333	-1304.33333333333	#00FF00	#00FF00	#00FF00
282	K00643	K00643			ortholog	80	458	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
283	K02492	K02492	K02492	NA	ortholog	135	533	46	17	-636.333333333333	415.666666666667	9.66666666666697	#00FF00	#FF0000	#FF0000
284	K01885	K01885	K01885	NA	ortholog	135	604	46	17	-117.333333333333	-70.3333333333333	-141.333333333333	#00FF00	#00FF00	#00FF00
285	K03794	K02302	K03794	sirB	ortholog	253	454	46	17	-40	-32	-9	#00FF00	#00FF00	#00FF00
286	K02302	K02302			ortholog	398	454	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
287	K02190	K02190			ortholog	337	473	46	17	NA	NA	NA	#FFFFFF	#FFFFFF	#FFFFFF
