kegg.names,annot
K00681  ,gamma-glutamyltranspeptidase / glutathione hydrolase [EC:2.3.2.2 3.4.19.13]
K18592  ,gamma-glutamyltranspeptidase / glutathione hydrolase / leukotriene-C4 hydrolase [EC:2.3.2.2 3.4.19.13 3.4.19.14]
K00682  ,gamma-glutamylcyclotransferase [EC:4.3.2.9]
K22596  ,"gamma-glutamylcyclotransferase, plant [EC:4.3.2.9]"
K07232  ,glutathione-specific gamma-glutamylcyclotransferase [EC:4.3.2.7]
K01469  ,5-oxoprolinase (ATP-hydrolysing) [EC:3.5.2.9]
K07160  ,5-oxoprolinase (ATP-hydrolysing) subunit A [EC:3.5.2.9]
K23123  ,5-oxoprolinase (ATP-hydrolysing) subunit B [EC:3.5.2.9]
K23124  ,5-oxoprolinase (ATP-hydrolysing) subunit C [EC:3.5.2.9]
K11204  ,glutamate--cysteine ligase catalytic subunit [EC:6.3.2.2]
K11205  ,glutamate--cysteine ligase regulatory subunit
K06048  ,glutamate---cysteine ligase / carboxylate-amine ligase [EC:6.3.2.2 6.3.-.-]
K01919  ,glutamate--cysteine ligase [EC:6.3.2.2]
K01920  ,glutathione synthase [EC:6.3.2.3]
K21456  ,glutathione synthase [EC:6.3.2.3]
K03423  ,bis-gamma-glutamylcystine reductase [EC:1.8.1.13]
K11142  ,cytosol aminopeptidase [EC:3.4.11.1 3.4.11.5]
K01255  ,leucyl aminopeptidase [EC:3.4.11.1]
K07751  ,PepB aminopeptidase [EC:3.4.11.23]
K11140  ,aminopeptidase N [EC:3.4.11.2]
K01256  ,aminopeptidase N [EC:3.4.11.2]
K01270  ,dipeptidase D [EC:3.4.13.-]
K15428  ,Cys-Gly metallodipeptidase DUG1 [EC:3.4.13.-]
K00799  ,glutathione S-transferase [EC:2.5.1.18]
K23790  ,glutathione S-transferase P [EC:2.5.1.18]
K13299  ,glutathione S-transferase kappa 1 [EC:2.5.1.18]
K04097  ,prostaglandin-H2 D-isomerase / glutathione transferase [EC:5.3.99.2 2.5.1.18]
K21888  ,glutathione dehydrogenase/transferase [EC:1.8.5.1 2.5.1.18]
K25210  ,glutathione transferase [EC:2.5.1.18]
K20838  ,N-acetyltransferase 8 [EC:2.3.1.80 2.3.1.-]
K00383  ,glutathione reductase (NADPH) [EC:1.8.1.7]
K00031  ,isocitrate dehydrogenase [EC:1.1.1.42]
K00032  ,phosphogluconate 2-dehydrogenase [EC:1.1.1.43]
K00033  ,6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]
K00036  ,glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]
K05360  ,protein-disulfide reductase (glutathione) [EC:1.8.4.2]
K05361  ,phospholipid-hydroperoxide glutathione peroxidase [EC:1.11.1.12]
K00432  ,glutathione peroxidase [EC:1.11.1.9]
K11188  ,peroxiredoxin 6 [EC:1.11.1.7 1.11.1.27 3.1.1.-]
K24137  ,glutaredoxin/glutathione-dependent peroxiredoxin [EC:1.11.1.25 1.11.1.27]
K24136  ,glutathione-dependent peroxiredoxin [EC:1.11.1.27]
K24138  ,glutaredoxin/glutathione-dependent peroxiredoxin [EC:1.11.1.25 1.11.1.27]
K00310  ,pyrimidodiazepine synthase [EC:1.5.4.1]
K01581  ,ornithine decarboxylase [EC:4.1.1.17]
K00797  ,spermidine synthase [EC:2.5.1.16]
K24034  ,"spermidine synthase / saccharopine dehydrogenase (NADP+, L-glutamate-forming) [EC:2.5.1.16 1.5.1.10]"
K01917  ,glutathionylspermidine synthase [EC:6.3.1.8]
K01460  ,glutathionylspermidine amidase/synthetase [EC:3.5.1.78 6.3.1.8]
K00802  ,spermine synthase [EC:2.5.1.22]
K01833  ,trypanothione synthetase/amidase [EC:6.3.1.9 3.5.1.-]
K04283  ,trypanothione-disulfide reductase [EC:1.8.1.12]
K00434  ,L-ascorbate peroxidase [EC:1.11.1.11]
K11185  ,"cytosolic tryparedoxin peroxidase, trypanosomatid typical 2-Cys peroxiredoxin [EC:1.11.1.-]"
K11186  ,"mitochondrial tryparedoxin peroxidase, trypanosomatid typical 2-Cys peroxiredoxin [EC:1.11.1.-]"
K11207  ,glutathione peroxidase-type tryparedoxin peroxidase [EC:1.11.1.-]
K10807  ,ribonucleoside-diphosphate reductase subunit M1 [EC:1.17.4.1]
K10808  ,ribonucleoside-diphosphate reductase subunit M2 [EC:1.17.4.1]
